"","station","station_id","line_name","entry_exits_period","mean_hourly_entries","mean_hourly_exits"
"199","155 ST","A11","AC","16:20",108.2,178.325
"200","155 ST","A11","AC","4:8",108.925,27.85
"201","155 ST","A11","AC","8:12",184.875,59.25
"202","155 ST","D12","BD","0:4",102.175,104.125
"203","155 ST","D12","BD","12:16",206.95,100.275
"204","155 ST","D12","BD","16:20",177.35,147.8
"205","155 ST","D12","BD","4:8",177.675,36.975
"206","155 ST","D12","BD","8:12",252.775,75.475
"207","157 ST","113","1","0:4",230.1,471.775
"208","157 ST","113","1","12:16",562.35,333.675
"209","157 ST","113","1","16:20",493.65,552.475
"210","157 ST","113","1","4:8",410.775,90.7
"211","157 ST","113","1","8:12",679.275,227.925
"212","161 ST-YANKEE","414","4BD","0:4",103.275,136.575
"213","161 ST-YANKEE","414","4BD","12:16",1221.225,556.2
"214","161 ST-YANKEE","414","4BD","16:20",1336.05,849.5
"215","161 ST-YANKEE","414","4BD","20:0",431.95,427.575
"216","161 ST-YANKEE","414","4BD","4:8",629.025,128.875
"217","161 ST-YANKEE","414","4BD","8:12",1421,567.875
"218","163 ST-AMSTERDM","A10","AC","0:4",87.35,104.425
"219","163 ST-AMSTERDM","A10","AC","12:16",213.875,78.725
"220","163 ST-AMSTERDM","A10","AC","16:20",180.425,119.275
"221","163 ST-AMSTERDM","A10","AC","4:8",215.975,22.275
"222","163 ST-AMSTERDM","A10","AC","8:12",294.85,53.8
"223","167 ST","413","4","0:4",50.65,173.8
"224","167 ST","413","4","12:16",418.425,347.075
"225","167 ST","413","4","16:20",451.525,785.3
"226","167 ST","413","4","20:0",201.75,439.325
"227","167 ST","413","4","4:8",292.325,59.075
"228","167 ST","413","4","8:12",719.85,300.05
"229","167 ST","D10","BD","0:4",46.525,79.725
"230","167 ST","D10","BD","12:16",446.125,149.125
"231","167 ST","D10","BD","16:20",461.8,345.075
"232","167 ST","D10","BD","20:0",200.675,195.5
"233","167 ST","D10","BD","4:8",274.725,37.05
"234","167 ST","D10","BD","8:12",775.1,155.8
"235","168 ST-BROADWAY","A09","1AC","0:4",139.875,181.7
"236","168 ST-BROADWAY","A09","1AC","12:16",1052.95,731.025
"237","168 ST-BROADWAY","A09","1AC","16:20",1995.4,910.325
"238","168 ST-BROADWAY","A09","1AC","20:0",700.625,530.175
"239","168 ST-BROADWAY","A09","1AC","4:8",258.925,251.075
"240","168 ST-BROADWAY","A09","1AC","8:12",1213.325,1352.775
"241","169 ST","F02","F","0:4",26.775,98.95
"242","169 ST","F02","F","12:16",418.825,221.875
"243","169 ST","F02","F","16:20",438.2,616.825
"244","169 ST","F02","F","20:0",172.225,344.375
"245","169 ST","F02","F","4:8",229.95,52.325
"246","169 ST","F02","F","8:12",640.85,215.975
"247","170 ST","412","4","0:4",54,121.9
"248","170 ST","412","4","12:16",425.6,253.4
"249","170 ST","412","4","16:20",448.05,471.175
"250","170 ST","412","4","20:0",200.975,261
"251","170 ST","412","4","4:8",246.275,57.275
