,train,train_stop,stop_id,station,time_travel,stop,line_name,station_id
258,6X,6X033,640,"Brooklyn Bridge - City Hall"640,120,033,456JZ,640
259,7,701,725,"Times Sq - 42 St"127,0,01,1237ACEGNQRS,127
260,7,702,724,"5 Av"724,90,02,7BDFM,724
261,7,703,723,"Grand Central - 42 St"631,90,03,4567GS,631
262,7,704,721,"Vernon Blvd - Jackson Av"721,270,04,7,721
263,7,705,720,"Hunters Point Av"720,60,05,7,720
264,7,706,719,"Court Sq"719,120,06,7EGM,719
265,7,707,718,"Queensboro Plaza"718,90,07,7N,718
266,7,708,716,"33 St"716,150,08,7,716
267,7,709,715,"40 St"715,60,09,7,715
268,7,7010,714,"46 St"714,60,010,7,714
269,7,7011,713,"52 St"713,60,011,7,713
270,7,7012,712,"Woodside - 61 St"712,120,012,7,712
271,7,7013,711,"69 St"711,120,013,7,711
272,7,7014,710,"74 St - Broadway"710,90,014,7EFMR,710
273,7,7015,709,"82 St - Jackson Hts"709,60,015,7,709
274,7,7016,708,"90 St - Elmhurst Av"708,60,016,7,708
275,7,7017,707,"Junction Blvd"707,90,017,7,707
276,7,7018,706,"103 St - Corona Plaza"706,60,018,7,706
277,7,7019,705,"111 St"705,60,019,7,705
278,7,7020,702,"Mets - Willets Point"702,150,020,7,702
279,7,7021,701,"Flushing - Main St"701,210,021,7,701
280,7X,7X01,725,"Times Sq - 42 St"127,0,01,1237ACEGNQRS,127
281,7X,7X02,724,"5 Av"724,90,02,7BDFM,724
282,7X,7X03,723,"Grand Central - 42 St"631,90,03,4567GS,631
283,7X,7X04,721,"Vernon Blvd - Jackson Av"721,300,04,7,721
284,7X,7X05,720,"Hunters Point Av"720,60,05,7,720
285,7X,7X06,719,"Court Sq"719,120,06,7EGM,719
286,7X,7X07,718,"Queensboro Plaza"718,90,07,7N,718
287,7X,7X08,712,"Woodside - 61 St"712,330,08,7,712
288,7X,7X09,707,"Junction Blvd"707,240,09,7,707
289,7X,7X010,702,"Mets - Willets Point"702,300,010,7,702
290,7X,7X011,701,"Flushing - Main St"701,300,011,7,701
291,A,A01,H11,"Far Rockaway - Mott Av"H11,0,01,A,H11
292,A,A02,H10,"Beach 25 St"H10,90,02,A,H10
293,A,A03,H09,"Beach 36 St"H09,120,03,A,H09
294,A,A04,H08,"Beach 44 St"H08,90,04,A,H08
295,A,A05,H07,"Beach 60 St"H07,120,05,A,H07
296,A,A06,H06,"Beach 67 St"H06,90,06,A,H06
297,A,A07,H04,"Broad Channel"H04,240,07,AH,H04
298,A,A08,H03,"Howard Beach - JFK Airport"H03,390,08,A,H03
299,A,A09,H02,"Aqueduct - N Conduit Av"H02,120,09,A,H02
300,A,A010,H01,"Aqueduct Racetrack"H01,60,010,A,H01
301,A,A011,A61,"Rockaway Blvd"A61,180,011,A,A61
302,A,A012,A60,"88 St"A60,90,012,A,A60
303,A,A013,A59,"80 St"A59,90,013,A,A59
304,A,A014,A57,"Grant Av"A57,90,014,A,A57
305,A,A015,A55,"Euclid Av"A55,90,015,AC,A55
306,A,A016,A51,"Broadway Jct"A51,240,016,ACJLZ,A51
307,A,A017,A48,"Utica Av"A48,210,017,AC,A48
308,A,A018,A46,"Nostrand Av"A46,180,018,AC,A46
309,A,A019,A42,"Hoyt - Schermerhorn Sts"A42,300,019,ACG,A42
310,A,A020,A41,"Jay St - MetroTech"A41,90,020,ACFNR,A41
311,A,A021,A40,"High St"A40,120,021,AC,A40
312,A,A022,A38,"Fulton St"229,180,022,2345ACJZ,229
313,A,A023,A36,"Chambers St"A36,120,023,23ACE,A36
314,A,A024,A34,"Canal St"A34,90,024,ACE,A34
315,A,A025,A32,"W 4 St"A32,150,025,ABCDEFM,A32
316,A,A026,A31,"14 St"A31,150,026,ACEL,A31
317,A,A027,A28,"34 St - Penn Station"A28,180,027,ACE,A28
318,A,A028,A27,"42 St - Port Authority Bus Terminal"A27,90,028,1237ACEGNQRS,A27
319,A,A029,A24,"59 St - Columbus Circle"125,180,029,1ABCD,125
320,A,A030,A15,"125 St"A15,480,030,ABCD,A15
321,A,A031,A12,"145 St"A12,180,031,ABCD,A12
322,A,A032,A09,"168 St"A09,180,032,1AC,A09
323,A,A033,A07,"175 St"A07,120,033,A,A07
324,A,A034,A06,"181 St"A06,60,034,A,A06
325,A,A035,A05,"190 St"A05,120,035,A,A05
326,A,A036,A03,"Dyckman St"A03,150,036,A,A03
327,A,A037,A02,"Inwood - 207 St"A02,120,037,A,A02
328,B,B01,D03,"Bedford Park Blvd"D03,0,01,BD,D03
329,B,B02,D04,"Kingsbridge Rd"D04,120,02,BD,D04
330,B,B03,D05,"Fordham Rd"D05,120,03,BD,D05
331,B,B04,D06,"182-183 Sts"D06,90,04,BD,D06
332,B,B05,D07,"Tremont Av"D07,90,05,BD,D07
333,B,B06,D08,"174-175 Sts"D08,90,06,BD,D08
334,B,B07,D09,"170 St"D09,150,07,BD,D09
335,B,B08,D10,"167 St"D10,120,08,BD,D10
336,B,B09,D11,"161 St - Yankee Stadium"414,150,09,4BD,414
337,B,B010,D12,"155 St"D12,90,010,BD,D12
338,B,B011,D13,"145 St"A12,90,011,ABCD,A12
339,B,B012,A14,"135 St"A14,120,012,ABC,A14
340,B,B013,A15,"125 St"A15,180,013,ABCD,A15
341,B,B014,A16,"116 St"A16,180,014,ABC,A16
342,B,B015,A17,"Cathedral Pkwy (110 St)"A17,90,015,ABC,A17
343,B,B016,A18,"103 St"A18,60,016,ABC,A18
344,B,B017,A19,"96 St"A19,90,017,ABC,A19
345,B,B018,A20,"86 St"A20,90,018,ABC,A20
346,B,B019,A21,"81 St - Museum of Natural History"A21,90,019,ABC,A21
347,B,B020,A22,"72 St"A22,90,020,ABC,A22
348,B,B021,A24,"59 St - Columbus Circle"125,90,021,1ABCD,125
349,B,B022,D14,"7 Av"D14,120,022,BDE,D14
350,B,B023,D15,"47-50 Sts - Rockefeller Ctr"D15,120,023,BDFM,D15
351,B,B024,D16,"42 St - Bryant Pk"D16,90,024,7BDFM,D16
352,B,B025,D17,"34 St - Herald Sq"D17,120,025,BDFMNQR,D17
353,B,B026,D20,"W 4 St"A32,180,026,ABCDEFM,A32
354,B,B027,D21,"Broadway-Lafayette St"D21,120,027,6BDFM,D21
355,B,B028,D22,"Grand St"D22,120,028,BD,D22
356,B,B029,R30,"DeKalb Av"R30,510,029,BDNQR,R30
357,B,B030,D24,"Atlantic Av - Barclays Ctr"235,120,030,2345BDNQR,235
358,B,B031,D25,"7 Av"D25,120,031,BQ,D25
359,B,B032,D26,"Prospect Park"D26,270,032,BFQS,D26
360,B,B033,D28,"Church Av"D28,120,033,BQ,D28
361,B,B034,D31,"Newkirk Plaza"D31,150,034,BQ,D31
362,B,B035,D35,"Kings Hwy"D35,270,035,BQ,D35
363,B,B036,D39,"Sheepshead Bay"D39,300,036,BQ,D39
364,B,B037,D40,"Brighton Beach"D40,120,037,BQ,D40
365,C,C01,A09,"168 St"A09,0,01,1AC,A09
366,C,C02,A10,"163 St - Amsterdam Av"A10,60,02,AC,A10
367,C,C03,A11,"155 St"A11,90,03,AC,A11
368,C,C04,A12,"145 St"A12,90,04,ABCD,A12
369,C,C05,A14,"135 St"A14,120,05,ABC,A14
370,C,C06,A15,"125 St"A15,90,06,ABCD,A15
371,C,C07,A16,"116 St"A16,90,07,ABC,A16
372,C,C08,A17,"Cathedral Pkwy (110 St)"A17,90,08,ABC,A17
373,C,C09,A18,"103 St"A18,60,09,ABC,A18
374,C,C010,A19,"96 St"A19,90,010,ABC,A19
375,C,C011,A20,"86 St"A20,90,011,ABC,A20
376,C,C012,A21,"81 St - Museum of Natural History"A21,90,012,ABC,A21
377,C,C013,A22,"72 St"A22,90,013,ABC,A22
378,C,C014,A24,"59 St - Columbus Circle"125,90,014,1ABCD,125
379,C,C015,A25,"50 St"A25,90,015,ACE,A25
380,C,C016,A27,"42 St - Port Authority Bus Terminal"A27,120,016,1237ACEGNQRS,A27
381,C,C017,A28,"34 St - Penn Station"A28,90,017,ACE,A28
382,C,C018,A30,"23 St"A30,120,018,ACE,A30
383,C,C019,A31,"14 St"A31,90,019,ACEL,A31
384,C,C020,A32,"W 4 St"A32,150,020,ABCDEFM,A32
385,C,C021,A33,"Spring St"A33,90,021,ACE,A33
386,C,C022,A34,"Canal St"A34,90,022,ACE,A34
387,C,C023,A36,"Chambers St"A36,120,023,23ACE,A36
388,C,C024,A38,"Fulton St"229,120,024,2345ACJZ,229
389,C,C025,A40,"High St"A40,180,025,AC,A40
390,C,C026,A41,"Jay St - MetroTech"A41,120,026,ACFNR,A41
391,C,C027,A42,"Hoyt - Schermerhorn Sts"A42,90,027,ACG,A42
392,C,C028,A43,"Lafayette Av"A43,120,028,AC,A43
393,C,C029,A44,"Clinton - Washington Avs"A44,120,029,AC,A44
394,C,C030,A45,"Franklin Av"A45,90,030,ACFS,A45
395,C,C031,A46,"Nostrand Av"A46,90,031,AC,A46
396,C,C032,A47,"Kingston - Throop Avs"A47,90,032,AC,A47
397,C,C033,A48,"Utica Av"A48,120,033,AC,A48
398,C,C034,A49,"Ralph Av"A49,120,034,AC,A49
399,C,C035,A50,"Rockaway Av"A50,90,035,AC,A50
400,C,C036,A51,"Broadway Jct"A51,90,036,ACJLZ,A51
401,C,C037,A52,"Liberty Av"A52,120,037,AC,A52
402,C,C038,A53,"Van Siclen Av"A53,90,038,AC,A53
403,C,C039,A54,"Shepherd Av"A54,90,039,AC,A54
404,C,C040,A55,"Euclid Av"A55,90,040,AC,A55
405,D,D01,D43,"Coney Island - Stillwell Av"D43,0,01,DFNQ,D43
406,D,D02,B23,"Bay 50 St"B23,240,02,D,B23
407,D,D03,B22,"25 Av"B22,150,03,D,B22
408,D,D04,B21,"Bay Pkwy"B21,90,04,D,B21
409,D,D05,B20,"20 Av"B20,60,05,D,B20
410,D,D06,B19,"18 Av"B19,90,06,D,B19
411,D,D07,B18,"79 St"B18,90,07,D,B18
412,D,D08,B17,"71 St"B17,90,08,D,B17
413,D,D09,B16,"62 St"B16,120,09,DN,B16
414,D,D010,B15,"55 St"B15,120,010,D,B15
415,D,D011,B14,"50 St"B14,90,011,D,B14
416,D,D012,B13,"Fort Hamilton Pkwy"B13,90,012,D,B13
417,D,D013,B12,"9 Av"B12,150,013,D,B12
418,D,D014,R36,"36 St"R36,240,014,DNR,R36
419,D,D015,R31,"Atlantic Av - Barclays Ctr"235,330,015,2345BDNQR,235
420,D,D016,D22,"Grand St"D22,630,016,BD,D22
421,D,D017,D21,"Broadway-Lafayette St"D21,120,017,6BDFM,D21
422,D,D018,D20,"W 4 St"A32,120,018,ABCDEFM,A32
423,D,D019,D17,"34 St - Herald Sq"D17,180,019,BDFMNQR,D17
424,D,D020,D16,"42 St - Bryant Pk"D16,90,020,7BDFM,D16
425,D,D021,D15,"47-50 Sts - Rockefeller Ctr"D15,90,021,BDFM,D15
426,D,D022,D14,"7 Av"D14,90,022,BDE,D14
427,D,D023,A24,"59 St - Columbus Circle"125,120,023,1ABCD,125
428,D,D024,A15,"125 St"A15,480,024,ABCD,A15
429,D,D025,D13,"145 St"A12,270,025,ABCD,A12
430,D,D026,D12,"155 St"D12,150,026,BD,D12
431,D,D027,D11,"161 St - Yankee Stadium"414,90,027,4BD,414
432,D,D028,D10,"167 St"D10,150,028,BD,D10
433,D,D029,D09,"170 St"D09,120,029,BD,D09
434,D,D030,D08,"174-175 Sts"D08,120,030,BD,D08
435,D,D031,D07,"Tremont Av"D07,210,031,BD,D07
