"","station","station_id","entry_exits_period","hourly_entries","hourly_exits"
"175","149 ST-3 AVE","221","16:20",15187.25,6714
"176","149 ST-3 AVE","221","20:0",5394,3483.5
"177","149 ST-3 AVE","221","4:8",5045.5,984.5
"178","149 ST-3 AVE","221","8:12",16344,5006.5
"179","149 ST-GR CONC","222","0:4",1009.5,1190.5
"180","149 ST-GR CONC","222","12:16",5791.25,2922.75
"181","149 ST-GR CONC","222","16:20",8034.25,3437.75
"182","149 ST-GR CONC","222","20:0",3088.25,2047.5
"183","149 ST-GR CONC","222","4:8",1614.75,905.25
"184","149 ST-GR CONC","222","8:12",5445.75,3436.5
"185","14TH STREET","132","0:4",1977.75,743.25
"186","14TH STREET","132","12:16",2121,4573.25
"187","14TH STREET","132","16:20",5381.25,4179
"188","14TH STREET","132","20:0",6827,4075
"189","14TH STREET","132","4:8",636,695.25
"190","14TH STREET","132","8:12",2158.25,5705
"191","15 ST-PROSPECT","F25","0:4",253,331
"192","15 ST-PROSPECT","F25","12:16",2461.5,1190.25
"193","15 ST-PROSPECT","F25","16:20",2842.5,2547.5
"194","15 ST-PROSPECT","F25","20:0",1191.25,1482.25
"195","15 ST-PROSPECT","F25","4:8",1149.5,162.5
"196","15 ST-PROSPECT","F25","8:12",5875.75,644.25
"197","155 ST","A11","0:4",547.75,1443
"198","155 ST","A11","12:16",1390.25,1007.25
"199","155 ST","A11","16:20",1082,1783.25
"200","155 ST","A11","4:8",1089.25,278.5
"201","155 ST","A11","8:12",1848.75,592.5
"202","155 ST","D12","0:4",1021.75,1041.25
"203","155 ST","D12","12:16",2069.5,1002.75
"204","155 ST","D12","16:20",1773.5,1478
"205","155 ST","D12","4:8",1776.75,369.75
"206","155 ST","D12","8:12",2527.75,754.75
"207","157 ST","113","0:4",2301,4717.75
"208","157 ST","113","12:16",5623.5,3336.75
"209","157 ST","113","16:20",4936.5,5524.75
"210","157 ST","113","4:8",4107.75,907
"211","157 ST","113","8:12",6792.75,2279.25
"212","161 ST-YANKEE","414","0:4",1032.75,1365.75
"213","161 ST-YANKEE","414","12:16",12212.25,5562
"214","161 ST-YANKEE","414","16:20",13360.5,8495
"215","161 ST-YANKEE","414","20:0",4319.5,4275.75
"216","161 ST-YANKEE","414","4:8",6290.25,1288.75
"217","161 ST-YANKEE","414","8:12",14210,5678.75
"218","163 ST-AMSTERDM","A10","0:4",873.5,1044.25
"219","163 ST-AMSTERDM","A10","12:16",2138.75,787.25
"220","163 ST-AMSTERDM","A10","16:20",1804.25,1192.75
"221","163 ST-AMSTERDM","A10","4:8",2159.75,222.75
"222","163 ST-AMSTERDM","A10","8:12",2948.5,538
"223","167 ST","413","0:4",506.5,1738
"224","167 ST","413","12:16",4184.25,3470.75
"225","167 ST","413","16:20",4515.25,7853
"226","167 ST","413","20:0",2017.5,4393.25
"227","167 ST","413","4:8",2923.25,590.75
"228","167 ST","413","8:12",7198.5,3000.5
"229","167 ST","D10","0:4",465.25,797.25
"230","167 ST","D10","12:16",4461.25,1491.25
"231","167 ST","D10","16:20",4618,3450.75
"232","167 ST","D10","20:0",2006.75,1955
"233","167 ST","D10","4:8",2747.25,370.5
"234","167 ST","D10","8:12",7751,1558
"235","168 ST-BROADWAY","A09","0:4",1398.75,1817
"236","168 ST-BROADWAY","A09","12:16",10529.5,7310.25
"237","168 ST-BROADWAY","A09","16:20",19954,9103.25
"238","168 ST-BROADWAY","A09","20:0",7006.25,5301.75
"239","168 ST-BROADWAY","A09","4:8",2589.25,2510.75
"240","168 ST-BROADWAY","A09","8:12",12133.25,13527.75
"241","169 ST","F02","0:4",267.75,989.5
"242","169 ST","F02","12:16",4188.25,2218.75
"243","169 ST","F02","16:20",4382,6168.25
"244","169 ST","F02","20:0",1722.25,3443.75
"245","169 ST","F02","4:8",2299.5,523.25
"246","169 ST","F02","8:12",6408.5,2159.75
"247","170 ST","412","0:4",540,1219
"248","170 ST","412","12:16",4256,2534
"249","170 ST","412","16:20",4480.5,4711.75
"250","170 ST","412","20:0",2009.75,2610
"251","170 ST","412","4:8",2462.75,572.75
"252","170 ST","412","8:12",6622.5,2445.25
"253","170 ST","D09","0:4",1209.25,1581
"254","170 ST","D09","12:16",3385.75,1544.5
"255","170 ST","D09","16:20",2649.75,2800.75
"256","170 ST","D09","4:8",3798,458.5
"257","170 ST","D09","8:12",4057.25,1259.5
"258","174 ST","215","0:4",1579.5,2654
"259","174 ST","215","12:16",4049.75,2805.5
"260","174 ST","215","16:20",3113.5,3766
"261","174 ST","215","4:8",3526,969.75
"262","174 ST","215","8:12",4091.25,2022
"263","174-175 ST","D08","0:4",270.5,305.75
"264","174-175 ST","D08","12:16",2515.5,795.25
"265","174-175 ST","D08","16:20",3102.5,1461.25
"266","174-175 ST","D08","20:0",988.5,757.75
"267","174-175 ST","D08","4:8",1198.75,157.5
"268","174-175 ST","D08","8:12",3620.5,865.5
"269","175 ST","A07","0:4",452.5,1134.5
"270","175 ST","A07","12:16",6535.75,2512.25
"271","175 ST","A07","16:20",6734,6265.25
"272","175 ST","A07","20:0",2499,3943
"273","175 ST","A07","4:8",2615.75,522.25
"274","175 ST","A07","8:12",9510.5,1763
"275","176 ST","410","0:4",315.5,620.25
"276","176 ST","410","12:16",2650.5,1179.25
"277","176 ST","410","16:20",2976.25,2180.75
"278","176 ST","410","20:0",1280,1434.25
"279","176 ST","410","4:8",1667.5,324
"280","176 ST","410","8:12",4301.25,1228.5
"281","18 AVE","B19","0:4",196.25,255
"282","18 AVE","B19","12:16",2307.75,628.75
"283","18 AVE","B19","16:20",2429,1920.75
"284","18 AVE","B19","20:0",1048,1085.25
"285","18 AVE","B19","4:8",1673.75,112.75
"286","18 AVE","B19","8:12",6161,483.5
"287","18 AVE","F30","0:4",114,392.5
"288","18 AVE","F30","12:16",1768.75,1182.5
"289","18 AVE","F30","16:20",2294.5,2486.75
"290","18 AVE","F30","20:0",753.5,1340.75
"291","18 AVE","F30","4:8",832.75,184
"292","18 AVE","F30","8:12",3362,1671.75
"293","18 AVE","N05","0:4",759.5,2068.5
"294","18 AVE","N05","12:16",2532,2081
"295","18 AVE","N05","16:20",2112,4775.75
"296","18 AVE","N05","4:8",2894.75,408.25
"297","18 AVE","N05","8:12",4323.5,1327
"298","18 ST","131","0:4",628,269.75
"299","18 ST","131","12:16",3577.75,2401.25
"300","18 ST","131","16:20",7138.75,3003.25
"301","18 ST","131","20:0",3097.75,1143
"302","18 ST","131","4:8",247.75,397.75
"303","18 ST","131","8:12",2666,3369.25
"304","181 ST","111","0:4",685.5,2206.25
"305","181 ST","111","12:16",5584.25,5065
"306","181 ST","111","16:20",6956.5,9294.5
"307","181 ST","111","20:0",3201.5,5398.75
"308","181 ST","111","4:8",1916,823.5
"309","181 ST","111","8:12",7615.25,4047.25
"310","181 ST","A06","0:4",1532.75,5032
"311","181 ST","A06","12:16",5167.5,3736.75
"312","181 ST","A06","16:20",4456,8272.25
"313","181 ST","A06","4:8",4272.25,715.5
"314","181 ST","A06","8:12",8878.75,2081.5
"315","182-183 ST","D06","0:4",269,501
"316","182-183 ST","D06","12:16",2230.25,761.25
"317","182-183 ST","D06","16:20",2267,1583
"318","182-183 ST","D06","20:0",1086.5,1117.5
"319","182-183 ST","D06","4:8",1509.25,167.25
"320","182-183 ST","D06","8:12",3762,715.75
"321","183 ST","408","0:4",324.75,724.25
"322","183 ST","408","12:16",2521,1087
"323","183 ST","408","16:20",2443.5,2392
