,train,train_stop,station_id,station,time_travel,line_name,stop_lat,stop_lon
74,2,2037,234,"Nevins St"234,60,2345,40.688246,-73.980492
75,2,2038,235,"Atlantic Av - Barclays Ctr"235,90,2345BDNQR,40.684359,-73.977666
76,2,2039,236,"Bergen St"236,60,234,40.680829,-73.975098
77,2,2040,237,"Grand Army Plaza"237,120,234,40.675235,-73.971046
78,2,2041,238,"Eastern Pkwy - Brooklyn Museum"238,120,234,40.671987,-73.964375
79,2,2042,239,"Franklin Av"239,90,2345FS,40.670682,-73.958131
80,2,2043,241,"President St"241,180,2,40.667883,-73.950683
81,2,2044,242,"Sterling St"242,90,25,40.662742,-73.95085
82,2,2045,243,"Winthrop St"243,90,25,40.656652,-73.9502
83,2,2046,244,"Church Av"244,330,25,40.650843,-73.949575
84,2,2047,245,"Beverly Rd"245,330,25,40.645098,-73.948959
85,2,2048,246,"Newkirk Av"246,90,25,40.639967,-73.948411
86,2,2049,247,"Flatbush Av - Brooklyn College"247,150,25,40.632836,-73.947642
87,3,301,301,"Harlem - 148 St"301,0,3,40.82388,-73.93647
88,3,302,302,"145 St"302,120,3,40.820421,-73.936245
89,3,303,224,"135 St"224,120,23,40.814229,-73.94077
90,3,304,225,"125 St"225,120,23,40.807754,-73.945495
91,3,305,226,"116 St"226,90,23,40.802098,-73.949625
92,3,306,227,"Central Park North (110 St)"227,60,23,40.799075,-73.951822
93,3,307,120,"96 St"120,270,123,40.793919,-73.972323
94,3,308,123,"72 St"123,180,123,40.778453,-73.98197
95,3,309,127,"Times Sq - 42 St"127,270,1237ACEGNQRS,40.75529,-73.987495
96,3,3010,128,"34 St - Penn Station"128,60,123,40.750373,-73.991057
97,3,3011,132,"14 St"132,180,123FLM,40.737826,-74.000201
98,3,3012,137,"Chambers St"137,270,123,40.715478,-74.009266
99,3,3013,228,"Park Pl"228,90,23ACE,40.713051,-74.008811
100,3,3014,229,"Fulton St"229,120,2345ACJZ,40.709416,-74.006571
101,3,3015,230,"Wall St"230,90,23,40.706821,-74.0091
102,3,3016,231,"Clark St"231,270,23,40.697466,-73.993086
103,3,3017,232,"Borough Hall"232,90,2345NR,40.693219,-73.989998
104,3,3018,233,"Hoyt St"233,90,23,40.690545,-73.985065
105,3,3019,234,"Nevins St"234,60,2345,40.688246,-73.980492
106,3,3020,235,"Atlantic Av - Barclays Ctr"235,90,2345BDNQR,40.684359,-73.977666
107,3,3021,236,"Bergen St"236,60,234,40.680829,-73.975098
108,3,3022,237,"Grand Army Plaza"237,120,234,40.675235,-73.971046
109,3,3023,238,"Eastern Pkwy - Brooklyn Museum"238,120,234,40.671987,-73.964375
110,3,3024,239,"Franklin Av"239,150,2345FS,40.670682,-73.958131
111,3,3025,248,"Nostrand Av"248,150,34,40.669847,-73.950466
112,3,3026,249,"Kingston Av"249,90,34,40.669399,-73.942161
113,3,3027,250,"Crown Hts - Utica Av"250,330,345,40.668897,-73.932942
114,3,3028,251,"Sutter Av - Rutland Rd"251,390,34,40.664717,-73.92261
115,3,3029,252,"Saratoga Av"252,90,34,40.661453,-73.916327
116,3,3030,253,"Rockaway Av"253,120,34,40.662549,-73.908946
117,3,3031,254,"Junius St"254,60,34L,40.663515,-73.902447
118,3,3032,255,"Pennsylvania Av"255,120,34,40.664635,-73.894895
119,3,3033,256,"Van Siclen Av"256,60,34,40.665449,-73.889395
120,3,3034,257,"New Lots Av"257,90,34,40.666235,-73.884079
121,4,401,401,"Woodlawn"401,0,4,40.886037,-73.878751
122,4,402,402,"Mosholu Pkwy"402,120,4,40.87975,-73.884655
123,4,403,405,"Bedford Park Blvd - Lehman College"405,120,4,40.873412,-73.890064
124,4,404,406,"Kingsbridge Rd"406,120,4,40.86776,-73.897174
125,4,405,407,"Fordham Rd"407,90,4,40.862803,-73.901034
126,4,406,408,"183 St"408,60,4,40.858407,-73.903879
127,4,407,409,"Burnside Av"409,90,4,40.853453,-73.907684
128,4,408,410,"176 St"410,90,4,40.84848,-73.911794
129,4,409,411,"Mt Eden Av"411,90,4,40.844434,-73.914685
130,4,4010,412,"170 St"412,90,4,40.840075,-73.917791
131,4,4011,413,"167 St"413,90,4,40.835537,-73.9214
132,4,4012,414,"161 St - Yankee Stadium"414,150,4BD,40.827994,-73.925831
133,4,4013,222,"149 St - Grand Concourse"222,180,245,40.81841,-73.926718
134,4,4014,416,"138 St - Grand Concourse"416,120,45,40.813224,-73.929849
135,4,4015,621,"125 St"621,180,456,40.804138,-73.937594
136,4,4016,626,"86 St"626,270,456,40.779492,-73.955589
137,4,4017,629,"59 St"629,240,456FNR,40.762526,-73.967967
138,4,4018,631,"Grand Central - 42 St"631,180,4567GS,40.751776,-73.976848
139,4,4019,635,"14 St - Union Sq"635,270,456LNQR,40.734673,-73.989951
140,4,4020,640,"Brooklyn Bridge - City Hall"640,330,456JZ,40.713065,-74.004131
141,4,4021,229,"Fulton St"229,120,2345ACJZ,40.709416,-74.006571
142,4,4022,419,"Wall St"419,60,45,40.707557,-74.011862
143,4,4023,420,"Bowling Green"420,90,45,40.704817,-74.014065
144,4,4024,232,"Borough Hall"232,330,2345NR,40.693219,-73.989998
145,4,4025,234,"Nevins St"234,120,2345,40.688246,-73.980492
146,4,4026,235,"Atlantic Av - Barclays Ctr"235,90,2345BDNQR,40.684359,-73.977666
147,4,4027,239,"Franklin Av"239,240,2345FS,40.670682,-73.958131
