"","stop_id",,"google_station"
"282","L28",L,"""E 105 St"""

"283","L29",L,"""Canarsie - Rockaway Pkwy"""

"284","D15",BDFM,"""47-50 Sts - Rockefeller Ctr"""

"285","D18",FM,"""23 St"""

"286","F12",EM,"""5 Av/53 St"""

"287","M01",M,"""Middle Village - Metropolitan Av"""

"288","M04",M,"""Fresh Pond Rd"""

"289","M05",M,"""Forest Av"""

"290","M06",M,"""Seneca Av"""

"291","M09",M,"""Knickerbocker Av"""

"292","M10",M,"""Central Av"""

"293","M12",JM,"""Flushing Av"""

"294","M13",JM,"""Lorimer St"""

"295","M14",JM,"""Hewes St"""

"296","N02",N,"""8 Av"""

"297","N03",N,"""Fort Hamilton Pkwy"""

"298","N05",N,"""18 Av"""

"299","N06",N,"""20 Av"""

"300","N07",N,"""Bay Pkwy"""

"301","N08",N,"""Kings Hwy"""

"302","N09",N,"""Avenue U"""

"303","N10",N,"""86 St"""

"304","R08",N,"""39 Av"""

"305","D25",BQ,"""7 Av"""

"306","D26",BFQS,"""Prospect Park"""

"307","D27",Q,"""Parkside Av"""

"308","D28",BQ,"""Church Av"""

"309","D29",Q,"""Beverley Rd"""

"310","D30",Q,"""Cortelyou Rd"""

"311","D31",BQ,"""Newkirk Plaza"""

"312","D32",Q,"""Avenue H"""

"313","D33",Q,"""Avenue J"""

"314","D34",Q,"""Avenue M"""

"315","D35",BQ,"""Kings Hwy"""

"316","D37",Q,"""Avenue U"""

"317","D38",Q,"""Neck Rd"""

"318","D39",BQ,"""Sheepshead Bay"""

"319","D40",BQ,"""Brighton Beach"""

"320","D41",Q,"""Ocean Pkwy"""

"321","D42",FQ,"""W 8 St - NY Aquarium"""

"322","D43",DFNQ,"""Coney Island - Stillwell Av"""

"323","R01",NQ,"""Astoria - Ditmars Blvd"""

"324","R03",NQ,"""Astoria Blvd"""

"325","R04",NQ,"""30 Av"""

"326","R05",NQ,"""Broadway"""

"327","R06",NQ,"""36 Av"""

"328","G08",EFMR,"""Forest Hills - 71 Av"""

"329","G09",EMR,"""67 Av"""

"330","G10",EMR,"""63 Dr - Rego Park"""

"331","G11",EMR,"""Woodhaven Blvd"""

"332","G12",EMR,"""Grand Av - Newtown"""

"333","G13",EMR,"""Elmhurst Av"""

"334","G15",EMR,"""65 St"""

"335","G16",EMR,"""Northern Blvd"""

"336","G18",EMR,"""46 St"""

"337","G19",EMR,"""Steinway St"""

"338","G20",EMR,"""36 St"""

"339","G21",EMR,"""Queens Plaza"""

"340","R13",NR,"""5 Av/59 St"""

"341","R14",NQR,"""57 St - 7 Av"""

"342","R15",NQR,"""49 St"""

"343","R18",NQR,"""28 St"""

"344","R19",NQR,"""23 St"""

"345","R21",NQR,"""8 St - NYU"""

"346","R22",NQR,"""Prince St"""

"347","R24",NR,"""City Hall"""

"348","R25",NR,"""Cortlandt St"""

"349","R26",NR,"""Rector St"""

"350","R30",BDNQR,"""DeKalb Av"""

"351","R32",DNR,"""Union St"""

"352","R34",DNR,"""Prospect Av"""

"353","R35",DNR,"""25 St"""

"354","R36",DNR,"""36 St"""

"355","R39",NR,"""45 St"""

"356","R40",NR,"""53 St"""

"357","R41",NR,"""59 St"""

"358","R42",R,"""Bay Ridge Av"""

"359","R43",R,"""77 St"""

"360","R44",R,"""86 St"""

"361","R45",R,"""Bay Ridge - 95 St"""

"362","S09",IS,"""Tottenville"""

"363","S10",IS,"""Atlantic"""

"364","S12",IS,"""Nassau"""

"365","S13",IS,"""Richmond Valley"""

"366","S14",IS,"""Pleasant Plains"""

"367","S15",IS,"""Prince's Bay"""

"368","S16",IS,"""Huguenot"""

"369","S17",IS,"""Annadale"""

"370","S18",IS,"""Eltingville"""

"371","S19",IS,"""Great Kills"""

"372","S20",IS,"""Bay Terrace"""

"373","S21",IS,"""Oakwood Heights"""

"374","S22",IS,"""New Dorp"""

"375","S23",IS,"""Grant City"""

"376","S24",IS,"""Jefferson Av"""

"377","S25",IS,"""Dongan Hills"""

"378","S26",IS,"""Old Town"""

"379","S27",IS,"""Grasmere"""

