"","Train","FromStopID","FromStation","FromLine","ToStopID","ToStation","ToLine","TravelTime"
"150","6","624","""103 St""","66X","625","""96 St""","66X",90
"151","6","625","""96 St""","66X","626","""86 St""","4566X",120
"152","6","626","""86 St""","4566X","627","""77 St""","66X",90
"153","6","627","""77 St""","66X","628","""68 St - Hunter College""","66X",120
"154","6","628","""68 St - Hunter College""","66X","629","""59 St""","4566X",90
"155","6","629","""59 St""","4566X","630","""51 St""","66X",90
"156","6","630","""51 St""","66X","631","""Grand Central - 42 St""","4566X",120
"157","6","631","""Grand Central - 42 St""","4566X","632","""33 St""","66X",120
"158","6","632","""33 St""","66X","633","""28 St""","66X",60
"159","6","633","""28 St""","66X","634","""23 St""","66X",60
"160","6","634","""23 St""","66X","635","""14 St - Union Sq""","4566X",120
"161","6","635","""14 St - Union Sq""","4566X","636","""Astor Pl""","66X",60
"162","6","636","""Astor Pl""","66X","637","""Bleecker St""","66X6X",90
"163","6","637","""Bleecker St""","66X6X","638","""Spring St""","66X6X",60
"164","6","638","""Spring St""","66X6X","639","""Canal St""","66X6X",90
"165","6","639","""Canal St""","66X6X","640","""Brooklyn Bridge - City Hall""","4566X6X",120
"167","6X","601","""Pelham Bay Park""","66X","602","""Buhre Av""","66X",150
"168","6X","602","""Buhre Av""","66X","603","""Middletown Rd""","66X",90
"169","6X","603","""Middletown Rd""","66X","604","""Westchester Sq - E Tremont Av""","66X",90
"170","6X","604","""Westchester Sq - E Tremont Av""","66X","606","""Zerega Av""","66X",60
"171","6X","606","""Zerega Av""","66X","607","""Castle Hill Av""","66X",60
"172","6X","607","""Castle Hill Av""","66X","608","""Parkchester""","66X",120
"173","6X","608","""Parkchester""","66X","613","""Hunts Point Av""","66X",330
"174","6X","613","""Hunts Point Av""","66X","619","""3 Av - 138 St""","66X",420
"175","6X","619","""3 Av - 138 St""","66X","621","""125 St""","4566X",180
"176","6X","621","""125 St""","4566X","622","""116 St""","66X",90
"177","6X","622","""116 St""","66X","623","""110 St""","66X",90
"178","6X","623","""110 St""","66X","624","""103 St""","66X",60
"179","6X","624","""103 St""","66X","625","""96 St""","66X",90
"180","6X","625","""96 St""","66X","626","""86 St""","4566X",120
"181","6X","626","""86 St""","4566X","627","""77 St""","66X",120
"182","6X","627","""77 St""","66X","628","""68 St - Hunter College""","66X",90
"183","6X","628","""68 St - Hunter College""","66X","629","""59 St""","4566X",120
"184","6X","629","""59 St""","4566X","630","""51 St""","66X",90
"185","6X","630","""51 St""","66X","631","""Grand Central - 42 St""","4566X",120
"186","6X","631","""Grand Central - 42 St""","4566X","632","""33 St""","66X",120
"187","6X","632","""33 St""","66X","633","""28 St""","66X",60
"188","6X","633","""28 St""","66X","634","""23 St""","66X",60
"189","6X","634","""23 St""","66X","635","""14 St - Union Sq""","4566X",120
"190","6X","635","""14 St - Union Sq""","4566X","636","""Astor Pl""","66X",60
"191","6X","636","""Astor Pl""","66X","637","""Bleecker St""","66X6X",90
"192","6X","637","""Bleecker St""","66X6X","638","""Spring St""","66X6X",60
