"beach 44 st" [2, '"beach 25 st"']
"kew gardens - union tpke" [15, '"14 st-union sq"']
"marble hill - 225 st" [5, '"marble hill-225"']
"104 st" [1, '"103 st"']
"sutter av - rutland rd" [13, '"sutter ave"']
"138 st - grand concourse" [10, '"138 st-gr conc"']
"prospect av" [1, '"prospect ave"']
"3 av - 149 st" [5, '"5 ave-59 st"']
"st lawrence av" [1, '"st lawrence ave"']
"72 st" [1, '"71 st"']
"howard beach - jfk airport" [12, '"howard bch-jfk"']
"prince st" [3, '"spring st"']
"174 st" [1, '"104 st"']
"bay ridge av" [1, '"bay ridge ave"']
"atlantic av" [1, '"atlantic ave"']
"4 av" [1, '"4 ave"']
"times sq - 42 st" [9, '"court sq-23 st"']
"ocean pkwy" [3, '"ocean parkway"']
"franklin av" [1, '"franklin ave"']
"beach 60 st" [2, '"beach 105 st"']
"rockaway av" [1, '"rockaway ave"']
"kingsbridge rd" [9, '"bay ridge ave"']
"86 st" [1, '"36 st"']
"clifton" [5, '"station"']
"great kills" [6, '"cypress hills"']
"bowling green" [7, '"botanic garden"']
"lexington av/59 st" [5, '"lexington-53 st"']
"167 st" [1, '"157 st"']
"137 st - city college" [6, '"137 st-city col"']
"christopher st - sheridan sq" [14, '"christopher st"']
"hewes st" [4, '"bergen st"']
"annadale" [6, '"18 ave"']
"grant city" [4, '"grand st"']
"grand st" [3, '"broad st"']
"astor pl" [3, '"astor place"']
"newkirk plaza" [4, '"newkirk ave"']
"68 st - hunter college" [7, '"68st-hunter col"']
"135 st" [1, '"125 st"']
"sutphin blvd" [5, '"junction blvd"']
"pleasant plains" [9, '"astor place"']
"northern blvd" [7, '"junction blvd"']
"nostrand av" [1, '"nostrand ave"']
"111 st" [1, '"110 st"']
"middletown rd" [2, '"middletown road"']
"57 st" [1, '"157 st"']
"stop_name" [6, '"astor place"']
"saratoga av" [1, '"saratoga ave"']
"25 av" [1, '"25 ave"']
"w 4 st" [2, '"104 st"']
"rector st" [4, '"fulton st"']
"jefferson st" [6, '"bergen st"']
"62 st" [1, '"65 st"']
"canal st" [4, '"broad st"']
"city hall" [5, '"city / bus"']
"freeman st" [4, '"dyckman st"']
"winthrop st" [6, '"fulton st"']
"marcy av" [1, '"marcy ave"']
"bedford park blvd" [2, '"bedford park bl"']
"14 st" [1, '"104 st"']
"33 st" [1, '"233 st"']
"71 st" [1, '"21 st"']
"bleecker st" [5, '"bergen st"']
"52 st" [1, '"50 st"']
"avenue h" [3, '"ave h"']
"175 st" [1, '"125 st"']
"28 st" [1, '"18 st"']
"zerega av" [1, '"zerega ave"']
"155 st" [1, '"125 st"']
"prince's bay" [5, '"prince st-b\'way"']
"w 8 st - ny aquarium" [5, '"w 8 st-aquarium"']
"6 av" [1, '"6 ave"']
"tottenville" [5, '"tompkinsville"']
"classon av" [1, '"classon ave"']
"beach 67 st" [1, '"beach 60 st"']
"207 st" [2, '"103 st"']
"bay ridge - 95 st" [2, '"bay ridge-95 st"']
"middle village - metropolitan av" [17, '"metropolitan av"']
"bedford av" [1, '"bedford ave"']
"3 av - 138 st" [5, '"5 ave-53 st"']
"allerton av" [1, '"allerton ave"']
"125 st" [1, '"121 st"']
"seneca av" [1, '"seneca ave"']
"delancey st" [4, '"chauncey st"']
"168 st - washington hts" [14, '"14 st-union sq"']
"dyckman st" [4, '"dyckman-200 st"']
"79 st" [1, '"59 st"']
"121 st" [1, '"111 st"']
"broadway-lafayette st" [8, '"broadway/lafay"']
"pelham pkwy" [3, '"pelham parkway"']
"avenue m" [3, '"ave m"']
"parkchester" [6, '"park place"']
"baychester av" [1, '"baychester ave"']
"flatbush av - brooklyn college" [18, '"flatbush ave"']
"grand central - 42 st" [13, '"cathedrl-110 st"']
"nassau" [3, '"nassau av"']
"wakefield - 241 st" [5, '"wakefield-241"']
"eltingville" [6, '"tompkinsville"']
"mets - willets point" [5, '"mets-willets pt"']
