"","station","is_night","mean_entries","mean_exits"
"159","7 AV-PARK SLOPE",0,859.916666666667,2578.33333333333
"160","7 AV-PARK SLOPE",1,345.079365079365,2487.61904761905
"161","7 AVE",0,6849.75,4548.28125
"162","7 AVE",1,2017.59036144578,4779.03614457831
"163","7 AVE-53 ST",0,3065.85,5311.725
"164","7 AVE-53 ST",1,4518.96746295949,1468.09820362786
"165","71 ST",0,1316.1,757.5
"166","71 ST",1,633.428571428571,3418.71428571429
"167","72 ST",0,5187.72427440633,5710.21108179419
"168","72 ST",1,2830.44082463761,3157.58730603993
"169","74 ST-BROADWAY",0,2454.3,1521.6
"170","74 ST-BROADWAY",1,1880.57142857143,1609.14285714286
"171","75 AVE",0,103.661340448836,542.789023839947
"172","75 AVE",1,117.5,1340.35714285714
"173","77 ST",0,4226.25,5246.48684210526
"174","77 ST",1,3246.31074168798,3481.82225063939
"175","79 ST",0,1239.14963483473,2671.09855207774
"176","79 ST",1,879.029761904762,2902.36734693878
"177","8 AVE",0,4779.125,7719.91666666667
"178","8 AVE",1,2939.60212201592,2791.79045092838
"179","82 ST-JACKSON H",0,4642.98994974874,2540.1256281407
"180","82 ST-JACKSON H",1,3658.77990430622,4597.46411483254
"181","86 ST",0,3884.56914893617,4059.9414893617
"182","86 ST",1,3698.78247265422,4594.28099861569
"183","9 AVE",0,2712.42857142857,1320.10714285714
"184","9 AVE",1,826.836734693878,2179.08163265306
"185","90 ST-ELMHURST",0,2642.35857820793,2283.01002132476
"186","90 ST-ELMHURST",1,1563.73015873016,6107.61904761905
"187","96 ST",0,4139.86842105263,5699.36842105263
"188","96 ST",1,2054.63322091062,4113.35160202361
"189","ALLERTON AVE",0,2144.75,3519.5
"190","ALLERTON AVE",1,1048.09523809524,4275
"191","AQUEDUCT-N CNDT",0,1622.85,431.1
"192","AQUEDUCT-N CNDT",1,614.571428571429,617.285714285714
"193","ASTOR PLACE",0,4085.4375,4054.4375
"194","ASTOR PLACE",1,2055.40326571389,2028.91479193428
"195","ATLANTIC AVE",0,341.25,889.75
"196","ATLANTIC AVE",1,448.333333333333,1437.38095238095
"197","AVE I",0,1148,954.75
"198","AVE I",1,569.52380952381,656.904761904762
"199","AVE N",0,879.964285714286,683.357142857143
"200","AVE N",1,352.551020408163,1116.9387755102
"201","AVE P",0,1104.25,856.75
"202","AVE P",1,768.809523809524,2753.09523809524
"203","AVE U",0,1522.59375,1134.375
"204","AVE U",1,562.142857142857,1915.71428571429
"205","AVE X",0,968.5,757.25
"206","AVE X",1,792.142857142857,1862.14285714286
"207","BARCLAYS CENTER",0,NA,NA
"208","BARCLAYS CENTER",1,NA,NA
"209","BAY 50 ST",0,537.5,1405.5
"210","BAY 50 ST",1,393.095238095238,2364.28571428571
"211","BAY PARKWAY",0,3315,1930.82142857143
"212","BAY PARKWAY",1,1038.87755102041,2905.20408163265
"213","BAY RIDGE AVE",0,1510.25,1264.625
"214","BAY RIDGE AVE",1,758.333333333333,3999.04761904762
"215","BAY RIDGE-95 ST",0,1061.18644067797,664.194915254237
"216","BAY RIDGE-95 ST",1,656.825396825397,2040.2380952381
"217","BAYCHESTER AVE",0,442.5,1746
"218","BAYCHESTER AVE",1,186.428571428571,2806.90476190476
"219","BEACH 25 ST",0,1100.7,323.7
"220","BEACH 25 ST",1,453.142857142857,1079.42857142857
"221","BEACH 36 ST",0,564.6,208.8
"222","BEACH 36 ST",1,285.428571428571,572
"223","BEACH 44 ST",0,401.85,157.35
"224","BEACH 44 ST",1,235.285714285714,389
"225","BEACH 60 ST",0,1395.75,579.9
"226","BEACH 60 ST",1,778.428571428571,1529
"227","BEACH 67 ST",0,1432.8,758.55
"228","BEACH 67 ST",1,1043.57142857143,1546.85714285714
"229","BEDFORD AVE",0,6494.40245581669,4925.65038367958
"230","BEDFORD AVE",1,4086.36904761905,5491.30952380952
"231","BEDFORD PARK BL",0,1613.25,1391.625
"232","BEDFORD PARK BL",1,597.946428571429,2124.64285714286
"233","BEDFORD/NOSTRAN",0,1912.82142857143,1400.46428571429
"234","BEDFORD/NOSTRAN",1,945.885416666667,3455.52083333333
"235","BERGEN ST",0,1423.44230769231,1877.01923076923
"236","BERGEN ST",1,704.67032967033,1500.32967032967
"237","BEVERLY ROAD",0,534,1118.625
"238","BEVERLY ROAD",1,365,3438.57142857143
"239","BOWERY",0,1425.25,2794.25
"240","BOWERY",1,2154.28571428571,1412.38095238095
"241","BOWLING GREEN",0,365.127801724138,1954.06918103448
"242","BOWLING GREEN",1,1567.44374281976,1656.67694811286
"243","BOYD-88 ST",0,1363,2388.75
"244","BOYD-88 ST",1,308.333333333333,5104.04761904762
"245","BRIGHTON BEACH",0,1353.05357142857,1324.5
"246","BRIGHTON BEACH",1,1516.02040816327,2520.35714285714
"247","BROAD ST",0,168.057692307692,1415.88461538462
"248","BROAD ST",1,431.098901098901,237.802197802198
"249","BROADWAY",0,3223.5,3126.25
"250","BROADWAY",1,1423.09523809524,2722.61904761905
"251","BROADWAY-ENY",0,NA,NA
"252","BROADWAY-ENY",1,NA,NA
"253","BRONX PARK EAST",0,1027.5,1517.5
"254","BRONX PARK EAST",1,483.333333333333,2070.2380952381
"255","BROOK AVE",0,2225.46428571429,1774.17857142857
"256","BROOK AVE",1,1058.16326530612,1868.97959183673
"257","BROOKLYN BRIDGE",0,184.378125,648.68359375
"258","BROOKLYN BRIDGE",1,955.245437558739,568.232160805346
"259","BUHRE AVE",0,1501.375,675.625
"260","BUHRE AVE",1,411.547619047619,1317.2619047619
"261","BURKE AVE",0,1246.5,1889.25
"262","BURKE AVE",1,396.666666666667,2868.33333333333
"263","BURNSIDE AVE",0,3103.2,2707.05
"264","BURNSIDE AVE",1,2322.42857142857,6270.57142857143
"265","BUSHWICK AVE",0,1463.25,819
"266","BUSHWICK AVE",1,772.142857142857,1992.61904761905
"267","CANAL ST",0,NA,NA
"268","CANAL ST",1,NA,NA
"269","CARROLL ST",0,900.511363636364,1332.47727272727
"270","CARROLL ST",1,883.826086956522,2501.21739130435
"271","CASTLE HILL AVE",0,2044.92857142857,1003.28571428571
"272","CASTLE HILL AVE",1,1349.69387755102,2886.9387755102
"273","CENTRAL AVE",0,2424,1408.875
"274","CENTRAL AVE",1,660.357142857143,1953.39285714286
"275","CHAMBERS ST",0,983.977275630381,2965.16887038923
"276","CHAMBERS ST",1,2482.00089928058,2207.45503597122
"277","CHAUNCEY ST",0,1406,2057
"278","CHAUNCEY ST",1,465.47619047619,2321.90476190476
"279","CHURCH AVE",0,2003.26594426241,1366.12103159332
"280","CHURCH AVE",1,1122.03286082474,2961.92976804124
"281","CLARK ST",0,2208.1875,2734.875
"282","CLARK ST",1,2031.25,3861.07142857143
"283","CLASSON AVE",0,3807,1911
"284","CLASSON AVE",1,2174.52380952381,4574.28571428571
"285","CLEVELAND ST",0,5341.5,2860.125
"286","CLEVELAND ST",1,1680.35714285714,4254.28571428571
"287","CLINTON-WASH AV",0,285.75,1243.125
"288","CLINTON-WASH AV",1,109.821428571429,1163.92857142857
"289","CRESCENT ST",0,5749.5,2682.25
"290","CRESCENT ST",1,1679.28571428571,4353.33333333333
"291","CYPRESS AVE",0,922.125,1428.125
"292","CYPRESS AVE",1,803.809523809524,1190.47619047619
"293","CYPRESS HILLS",0,681.5,476
"294","CYPRESS HILLS",1,492.142857142857,1392.14285714286
"295","DEKALB AVE",0,1214.2125,2039.9625
"296","DEKALB AVE",1,1209.46428571429,3834.14285714286
"297","DELANCEY ST",0,3436.75,3654.625
"298","DELANCEY ST",1,1545.59523809524,1986.19047619048
"299","DITMARS BL-31 S",0,5777.90625,2348.71875
"300","DITMARS BL-31 S",1,2505.625,6519.10714285714
"301","DITMAS AVE",0,2077.25,1189.75
"302","DITMAS AVE",1,822.619047619048,1341.66666666667
"303","DYCKMAN ST",0,1849.625,1719.5
"304","DYCKMAN ST",1,1217.38095238095,3384.64285714286
"305","DYCKMAN-200 ST",0,180,4444.25
"306","DYCKMAN-200 ST",1,86.1904761904762,5333.57142857143
"307","DYRE AVE",0,2406.45,1347
"308","DYRE AVE",1,1047.42857142857,2114
"309","E 143 ST",0,355.25,385.125
"310","E 143 ST",1,343.690476190476,247.02380952381
"311","E 149 ST",0,2078.75,1499.875
"312","E 149 ST",1,949.642857142857,1783.21428571429
"313","E 177 ST-PARKCH",0,4681.375,2139.625
"314","E 177 ST-PARKCH",1,1382.97619047619,3363.33333333333
"315","E 180 ST",0,4068.25,2270.625
"316","E 180 ST",1,2382.14285714286,2861.90476190476
"317","EAST BROADWAY",0,1368.30985915493,2365.98591549296
"318","EAST BROADWAY",1,1609.48695652174,3182.67391304348
"319","ELDER AVE",0,3375.125,1744.375
"320","ELDER AVE",1,1053.21428571429,2775.35714285714
"321","ELDERTS LANE",0,1213.35,562.65
"322","ELDERTS LANE",1,640.142857142857,2191.28571428571
"323","ESSEX ST",0,1905.75,2939.25
"324","ESSEX ST",1,1245.71428571429,2382.55102040816
"325","EUCLID AVE",0,876.964285714286,1437.64285714286
"326","EUCLID AVE",1,699.69387755102,3969.28571428571
"327","FAR ROCKAWAY",0,1735.17857142857,1031.03571428571
"328","FAR ROCKAWAY",1,1437.65306122449,2024.18367346939
"329","FLATBUSH AVE",0,1762.34210526316,1708.57894736842
"330","FLATBUSH AVE",1,674.624060150376,2269.43609022556
"331","FLUSHING AVE",0,1065.14423076923,2333.56730769231
"332","FLUSHING AVE",1,822.841328413284,1395.60885608856
"333","FORDHAM ROAD",0,1300.359375,2203.40625
"334","FORDHAM ROAD",1,945.892857142857,4266.74107142857
"335","FOREST AVE",0,3180.75,1719
"336","FOREST AVE",1,810.714285714286,3659.7619047619
"337","FOREST HILLS-71",0,1778.625,2433.47727272727
"338","FOREST HILLS-71",1,628.928571428571,2804.61038961039
"339","FOREST PARKWAY",0,1382.0625,851.8125
"340","FOREST PARKWAY",1,766.607142857143,3227.67857142857
"341","FRANKLIN ST",0,779.71875,2263.03125
"342","FRANKLIN ST",1,751.25,730.892857142857
"343","FRESH POND ROAD",0,2480.0625,998.25
"344","FRESH POND ROAD",1,558.75,1931.60714285714
"345","FT HAMILTON PKY",0,1396.31443298969,1363.53092783505
"346","FT HAMILTON PKY",1,442.204433497537,2001.0960591133
"347","FULTON ST",0,NA,NA
"348","FULTON ST",1,NA,NA
"349","GATES AVE",0,2640.75,4266.75
"350","GATES AVE",1,971.190476190476,4691.90476190476
"351","GRAHAM AVE",0,3107.41525423729,2345.84745762712
"352","GRAHAM AVE",1,1859.82142857143,4706.60714285714
"353","GRAND ST",0,2379.21348314607,3778.8202247191
"354","GRAND ST",1,3886.07913669065,3834.98201438849
"355","GRAND-30 AVE",0,5813.25,2864.125
"356","GRAND-30 AVE",1,2900.95238095238,7540
"357","GRANT AVE",0,3843.5625,1617.375
"358","GRANT AVE",1,1963.92857142857,5330.89285714286
"359","GREENPOINT AVE",0,1272.45,1503.225
"360","GREENPOINT AVE",1,1293.71428571429,2181.28571428571
"361","GUN HILL ROAD",0,2359.5,1919.55
"362","GUN HILL ROAD",1,1253.21428571429,3132.92857142857
"363","HALSEY ST",0,2039.04545454545,1875.95454545455
"364","HALSEY ST",1,848.831168831169,3604.48051948052
"365","HEWES ST",0,1436.5,2913.5
"366","HEWES ST",1,751.190476190476,2060.47619047619
