"","station","station_id","daily_entries","daily_exits"
"51","176 ST","410",265.459135086173,146.665699667058
"52","18 AVE","B19",266.949501620436,92.1823815174117
"53","18 AVE","F30",179.903105415198,146.8792382736
"54","18 AVE","N05",248.838582292094,240.383820860273
"55","18 ST","131",396.920507123972,231.81526757736
"56","181 ST","111",526.955142234626,554.764954220525
"57","181 ST","A06",495.976136939378,443.533550312803
"58","182-183 ST","D06",218.824500670307,83.042421640279
"59","183 ST","408",279.419751262979,156.798188295432
"60","190 ST","A05",196.376132037685,90.829797258316
"61","191 ST","110",381.20429427891,430.886255749691
"62","2 AVE","F14",796.992357642969,791.596178515472
"63","20 AVE","B20",215.733138015097,90.4823145211032
"64","20 AVE","N06",193.413122852234,113.929580524716
"65","207 ST","108",290.24141113784,134.237795119826
"66","21 ST","B04",402.905339832366,349.459724335066
"67","215 ST","107",91.5349178662358,38.6816202751665
"68","219 ST","207",155.71891025641,73.5993762993763
"69","22 AVE-BAY PKY","F32",68.6680130495047,28.7886985333953
"70","225 ST","206",204.463145451053,92.3637595475911
"71","23 ST","130",741.149515800739,587.002694950385
"72","23 ST","634",1387.3867426896,1079.43244702688
"73","23 ST","A30",1171.98907906717,736.365080256704
"74","23 ST-5 AVE","R19",1159.62417136605,591.953904529033
"75","23 ST-6 AVE","D18",1273.12611878183,1044.17684831571
"76","231 ST","104",415.526292396656,68.3311325998016
"77","233 ST","205",250.322013788454,87.5200811074453
"78","238 ST","103",175.4903536375,4.70083338982796
"79","242 ST","101",311.496287455934,142.963722826087
"80","25 AVE","B22",210.645076108027,67.6855248810468
"81","25 ST","R35",170.639132302405,153.219345683908
"82","28 ST","129",759.729176355413,460.038517571287
"83","28 ST","633",1144.56043436831,1064.80916427506
"84","28 ST-BROADWAY","R18",592.190979014304,622.416143125679
"85","3 AVE","L05",341.453452580257,325.416147898493
"86","33 ST","632",1545.00772309726,1143.89519146027
"87","33 ST/RAWSON ST","716",613.685966265178,404.739251615746
"88","34 ST-HERALD SQ","D17",5367.81021198637,4647.87509508914
"89","34 ST-PENN STA","128",3871.93966901684,3111.60572610654
"90","34 ST-PENN STA","A28",5793.50014318442,4874.52874482333
"91","36 ST","G20",226.551843244331,149.691111044641
"92","36 ST","R36",598.363923032866,380.421874449291
"93","4 AVE","F23",201.05665332452,282.264968909127
"94","40 ST-LOWERY ST","715",479.539549059929,445.804585903839
"95","42 ST-BRYANT PK","D16",1854.88090542989,1684.95591889444
"96","42 ST-GRD CNTRL","631",6547.81243879749,6027.58065021543
"97","42 ST-PA BUS TE","A27",3984.04615164332,3110.05084478809
"98","42 ST-TIMES SQ","127",4336.69967618292,3683.92121442418
"99","45 ST","R39",315.762361221253,215.782840999207
"100","46 ST","G18",420.651959269613,376.389486514541
"101","46 ST-BLISS ST","714",617.477093639533,511.218690762018
"102","47-50 ST-ROCK","D15",2925.46999669506,2784.1013697121
"103","49 ST-7 AVE","R15",1175.37014568097,949.778841381032
"104","5 AVE-53 ST","F12",1107.00171029425,1208.29029170148
"105","5 AVE-59 ST","R13",791.259268437748,579.467340734867
"106","5 AVE-BRYANT PK","724",582.533032181498,491.742067816261
"107","50 ST","126",1237.99271497601,1111.78941575434
"108","50 ST","A25",954.57299431668,653.007632831086
"109","50 ST","B14",141.675196145727,137.907003306615
"110","51 ST","630",1039.29826319702,983.633073862741
"111","52 ST-LINCOLN","713",301.944272673157,310.287104189022
"112","53 ST","R40",326.081010441449,151.998319969454
"113","55 ST","B15",88.199995227186,51.1596315387553
"114","57 ST","B10",765.981313110798,592.488949187643
"115","57 ST-7 AVE","R14",1167.61002070667,566.94415954416
"116","59 ST","629",561.135527286952,331.115853113975
"117","59 ST","R41",2772.29859605839,2329.2194477487
"118","59 ST-COLUMBUS","125",3370.75239830006,2457.49732049197
"119","6 AVE","L02",277.584885966458,109.310701016242
"120","61 ST/WOODSIDE","712",741.356378148634,832.826278755762
"121","63 DR-REGO PARK","G10",731.023665173325,338.109955199765
"122","65 ST","G15",166.565913604346,132.866753377389
"123","66 ST-LINCOLN","124",1165.36172677694,1037.32197414806
"124","67 AVE","G09",412.408893336271,227.48642895613
"125","68ST-HUNTER COL","628",1683.54104230694,1023.69558635768
"126","69 ST-FISK AVE","711",218.660747536834,226.51621565127
"127","7 AV-PARK SLOPE","F24",546.264697640785,113.804511283859
"128","7 AVE","D25",430.060335161688,434.899629372632
"129","7 AVE-53 ST","D14",854.340387449214,858.352353819021
"130","71 ST","B17",199.86053211733,99.7293615984405
"131","72 ST","123",1749.28902271837,1584.957696074
