"","station","station_id","daily_entries","daily_exits"
"184","BEACH 98 ST","H13",23.1078947368421,19.4061403508772
"185","BEDFORD AVE","L08",1114.34760771874,655.752031015949
"186","BEDFORD PARK BL","405",234.503153153153,165.863963963964
"187","BEDFORD PARK BL","D03",348.269298245614,129.601315789474
"188","BEDFORD/NOSTRAN","G33",411.138738738739,136.327027027027
"189","BEEBE-39 AVE","R08",116.150805263577,133.66762223284
"190","BERGEN ST","236",189.813063063063,82.9400900900901
"191","BERGEN ST","F20",416.393243243243,187.016666666667
"192","BEVERLEY ROAD","D29",159.575605780245,67.41091946427
"193","BEVERLY ROAD","245",251.095495495495,22.8608108108108
"194","BLEECKER ST","637",503.647617998433,184.93473609479
"195","BOROUGH HALL/CT","232",1043.26282051282,983.615384615385
"196","BOROUGH HALL/CT","R28",0,0
"197","BOTANIC GARDEN","S04",43.4892237201516,80.2975394307869
"198","BOWERY","M19",94.3897435897436,108.203846153846
"199","BOWLING GREEN","420",749.412162162162,1475.55225225225
"200","BOYD-88 ST","A60",123.009216065536,17.1608141806045
"201","BRIGHTON BEACH","D40",498.682051282051,258.847008547009
"202","BROAD CHANNEL","H04",18.169298245614,2.70964912280702
"203","BROAD ST","M23",73.9478632478633,113.178205128205
"204","BROADWAY","G30",138.311261261261,98.0292792792793
"205","BROADWAY-31 ST","R05",679.072522522522,294.940540540541
"206","BROADWAY-ENY","A51",436.163596491228,278.512280701754
"207","BROADWAY/LAFAY","D21",445.750501860556,817.862992068155
"208","BRONX PARK EAST","212",132.732361437524,33.8788728946338
"209","BROOK AVE","618",241.436486486486,169.811711711712
"210","BROOKLYN BRIDGE","640",455.830163043478,962.336050724638
"211","BURKE AVE","209",181.562992068155,31.8247968076772
"212","BURNSIDE AVE","409",486.407657657658,204.672072072072
"213","BUSHWICK AVE","L21",89.8572649572649,41.0076923076923
"214","CANAL ST","135",92.3355855855856,196.131081081081
"215","CANAL ST","639",762.098717948718,972.840598290598
"216","CANAL ST","A34",347.642735042735,753.869658119658
"217","CARROLL ST","F21",538.472522522522,172.70045045045
"218","CASTLE HILL AVE","607",406.421467391304,201.951948687818
"219","CATHEDRL-110 ST","A17",263.362393162393,142.024358974359
"220","CENTRAL AVE","M10",158.29358974359,85.7367521367521
"221","CHAMBERS ST","137",489.664864864865,928.116666666667
"222","CHAMBERS ST","A36",800.063675213675,1054.71111111111
"223","CHAMBERS ST","M21",229.296821305842,405.737972508591
"224","CHAUNCEY ST","J28",132.174358974359,40.9897435897436
"225","CHRISTOPHER ST","133",423.77972972973,472.395495495495
"226","CHURCH AVE","244",445.580630630631,64.0243243243243
"227","CHURCH AVE","D28",898.601709401709,435.601282051282
"228","CHURCH AVE","F27",535.822522522522,206.058108108108
"229","CITY HALL","R24",91.9086703674333,145.290723852322
"230","CLARK ST","231",251.512282119076,104.366720524873
"231","CLASSON AVE","G34",238.5,136.303603603604
"232","CLEVELAND ST","J22",168.445808000705,81.4387280817693
"233","CLINTON-WASH AV","A44",288.591666666667,137.460087719298
"234","CLINTON-WASH AV","G35",188.336936936937,22.0463963963964
"235","CORTELYOU ROAD","D30",332.570512820513,52.4589743589744
"236","CORTLANDT ST","R25",104.476923076923,205.17905982906
"237","COURT SQ-23 ST","719",576.706578947368,757.870175438597
"238","CRESCENT ST","J20",248.880106176756,127.127273328047
"239","CROWN HTS-UTICA","250",1504.31126126126,516.677477477478
"240","CYPRESS AVE","617",136.640709459459,104.765765765766
"241","CYPRESS HILLS","J19",78.2529914529915,26.6038461538462
"242","DEKALB AVE","L16",621.930341880342,108.276495726496
"243","DEKALB AVE","R30",596.429487179487,402.492735042735
"244","DELANCEY ST","F15",480.718123861566,361.382969034608
"245","DITMARS BL-31 S","R01",927.670191931062,379.666331276929
"246","DITMAS AVE","F29",197.863063063063,91.3707207207207
"247","DYCKMAN ST","109",321.927027027027,122.50990990991
"248","DYCKMAN-200 ST","A03",295.590598290598,5.25982905982906
"249","DYRE AVE","501",244.499544626594,122.838797814208
"250","E 143 ST","616",29.8594594594595,40.4436936936937
"251","E 149 ST","615",194.32972972973,130.665315315315
"252","E 177 ST-PARKCH","608",809.425675675676,389.89954954955
"253","E 180 ST","213",352.679800724638,166.410778985507
"254","E TREMONT AVE","214",300.663963963964,209.162612612613
"255","EAST 105 ST","L28",188.341025641026,114.772222222222
"256","EAST BROADWAY","F16",504.44399284414,252.595997321784
"257","EASTERN PKWY","238",208.536684782609,130.471014492754
"258","ELDER AVE","611",303.288738738739,171.236486486486
"259","ELDERTS LANE","J17",201.451709401709,68.1786324786325
"260","ELMHURST AVE","G13",725.134210526316,89.9864035087719
"261","ESSEX ST","M18",346.099309153713,222.902849740933
"262","EUCLID AVE","A55",490.580263157895,84.3907894736842
"263","FAR ROCKAWAY","H11",225.535087719298,167.885964912281
"264","FLATBUSH AVE","247",913.338738738739,283.78963963964
"265","FLUSHING AVE","G31",88.6373873873874,100.741441441441
"266","FLUSHING AVE","M12",253.485335712398,120.376771081153
"267","FORDHAM ROAD","407",481.419369369369,79.3094594594595
"268","FORDHAM ROAD","D05",518.432456140351,166.750877192982
"269","FOREST AVE","M05",226.532478632479,74.0247863247863
"270","FOREST HILLS-71","G08",1197.42477477477,280.451351351351
"271","FOREST PARKWAY","J16",231.214102564103,48.2230769230769
"272","FRANKLIN AVE","239",546.596846846847,248.821171171171
"273","FRANKLIN AVE","A45",244.639912280702,210.134649122807
"274","FRANKLIN ST","136",120.585754504505,104.643199177438
"275","FREEMAN ST","216",206.952702702703,115.413063063063
"276","FRESH POND ROAD","M04",316.282051282051,121.552564102564
"277","FT HAMILTON PKY","B13",165.670695656005,82.2463014362499
"278","FT HAMILTON PKY","F26",264.315315315315,40.5734234234234
"279","FT HAMILTON PKY","N03",341.148195876289,93.4621993127148
"280","FULTON ST","229",1068.50555555556,2619.1858974359
"281","FULTON ST","G36",140.079212454212,154.344322344322
"282","GATES AVE","J30",259.762946074544,79.4054674420654
"283","GRAHAM AVE","L11",512.060256410256,207.518803418803
"284","GRAND ARMY PLAZ","237",361.622522522523,85.2240330003917
"285","GRAND AV-NEWTON","G12",942.439239301959,200.576283300845
"286","GRAND ST","D22",583.267663043478,711.866847826087
"287","GRAND ST","L12",272.982051282051,303.905128205128
"288","GRAND-30 AVE","R04",766.213976204465,341.699926556992
"289","GRANT AVE","A57",369.48544973545,133.685626102293
"290","GREENPOINT AVE","G26",382.944144144144,204.367567567568
"291","GUN HILL ROAD","208",633.534684684685,298.906306306306
"292","GUN HILL ROAD","503",633.534684684685,298.906306306306
"293","HALSEY ST","J29",280.455982905983,82.3119658119658
"294","HALSEY ST","L19",416.579487179487,132.597008547009
"295","HEWES ST","M14",104.921367521368,49.9854700854701
"296","HIGH ST","A40",273.446581196581,332.176495726496
