
"Liberty Av"A52,A52,"Van Siclen Av"A53,A53,0
"77 St"627,627,"86 St"626,626,0
"77 St"627,627,"68 St - Hunter College"628,628,648
"161 St - Yankee Stadium"414,414,"167 St"D10,D10,0
"161 St - Yankee Stadium"414,414,"167 St"413,413,0
"161 St - Yankee Stadium"414,414,"149 St - Grand Concourse"222,222,0
"161 St - Yankee Stadium"414,414,"155 St"D12,D12,4999
"Northern Blvd"G16,G16,"46 St"G18,G18,59
"Northern Blvd"G16,G16,"65 St"G15,G15,0
"74 St - Broadway"710,710,"69 St"711,711,2304
"74 St - Broadway"710,710,"82 St - Jackson Hts"709,709,0
"225 St"206,206,"233 St"205,205,0
"225 St"206,206,"219 St"207,207,465
"Avenue U"N09,N09,"86 St"N10,N10,0
"Avenue U"N09,N09,"Kings Hwy"N08,N08,142
"Mets - Willets Point"702,702,"111 St"705,705,1165
"Mets - Willets Point"702,702,"Flushing - Main St"701,701,0
"Mets - Willets Point"702,702,"Junction Blvd"707,707,0
"72 St"A22,A22,"59 St - Columbus Circle"125,125,0
"72 St"A22,A22,"81 St - Museum of Natural History"A21,A21,0
"Clinton - Washington Avs"G35,G35,"Fulton St"G36,G36,293
"Clinton - Washington Avs"G35,G35,"Classon Av"G34,G34,0
"Longwood Av"614,614,"E 149 St"615,615,9
"Longwood Av"614,614,"Hunts Point Av"613,613,0
"30 Av"R04,R04,"Broadway"R05,R05,1028
"30 Av"R04,R04,"Astoria Blvd"R03,R03,0
"33 St"716,716,"Queensboro Plaza"718,718,0
"33 St"716,716,"40 St"715,715,0
"28 St"129,129,"23 St"130,130,68
"28 St"129,129,"34 St - Penn Station"128,128,0
"Nereid Av"204,204,"233 St"205,205,165
"Nereid Av"204,204,"Wakefield - 241 St"201,201,0
"135 St"224,224,"125 St"225,225,508
"135 St"224,224,"145 St"302,302,0
"135 St"224,224,"149 St - Grand Concourse"222,222,0
"Pennsylvania Av"255,255,"Van Siclen Av"256,256,0
"Pennsylvania Av"255,255,"Junius St"254,254,760
"Franklin Av"239,239,"Eastern Pkwy - Brooklyn Museum"238,238,0
"Franklin Av"239,239,"Nostrand Av"248,248,0
"Franklin Av"239,239,"Crown Hts - Utica Av"250,250,0
"Franklin Av"239,239,"President St"241,241,0
"Franklin Av"239,239,"Atlantic Av - Barclays Ctr"235,235,4667
"Bedford Park Blvd"D03,D03,"Kingsbridge Rd"D04,D04,331
"Bedford Park Blvd"D03,D03,"Norwood - 205 St"D01,D01,0
"7 Av"D14,D14,"50 St"A25,A25,0
"7 Av"D14,D14,"59 St - Columbus Circle"125,125,0
"7 Av"D14,D14,"47-50 Sts - Rockefeller Ctr"D15,D15,0
"7 Av"D14,D14,"5 Av/53 St"F12,F12,0
"21 St - Queensbridge"B04,B04,"Jackson Hts - Roosevelt Av"G14,G14,0
"21 St - Queensbridge"B04,B04,"Roosevelt Island"B06,B06,6587
"Avenue H"D32,D32,"Newkirk Plaza"D31,D31,260
"Avenue H"D32,D32,"Avenue J"D33,D33,0
"E 180 St"213,213,"West Farms Sq - E Tremont Av"214,214,2681
"E 180 St"213,213,"Morris Park"505,505,0
"E 180 St"213,213,"Bronx Park East"212,212,0
"Rockaway Park - Beach 116 St"H15,H15,"Beach 105 St"H14,H14,4
"85 St - Forest Pkwy"J16,J16,"Woodhaven Blvd"J15,J15,0
"85 St - Forest Pkwy"J16,J16,"75 St"J17,J17,265
"231 St"104,104,"238 St"103,103,0
"231 St"104,104,"Marble Hill - 225 St"106,106,891
"Kingston Av"249,249,"Nostrand Av"248,248,66
"Kingston Av"249,249,"Crown Hts - Utica Av"250,250,0
"191 St"110,110,"Dyckman St"109,109,0
"191 St"110,110,"181 St"111,111,1588
"3 Av - 149 St"221,221,"Jackson Av"220,220,0
"3 Av - 149 St"221,221,"149 St - Grand Concourse"222,222,3891
"Grand Av - Newtown"G12,G12,"Elmhurst Av"G13,G13,1812
"Grand Av - Newtown"G12,G12,"Woodhaven Blvd"G11,G11,0
"Bergen St"236,236,"Grand Army Plaza"237,237,0
"Bergen St"236,236,"Atlantic Av - Barclays Ctr"235,235,157
"Eastern Pkwy - Brooklyn Museum"238,238,"Franklin Av"239,239,0
"Eastern Pkwy - Brooklyn Museum"238,238,"Grand Army Plaza"237,237,51
"Bowling Green"420,420,"Wall St"419,419,1304
