
"Canal St"A34,A34,"Spring St"A33,A33,0
"86 St"N10,N10,"Avenue U"N09,N09,0
"86 St"N10,N10,"Coney Island - Stillwell Av"D43,D43,18
"Liberty Av"A52,A52,"Broadway Jct"A51,A51,0
"Liberty Av"A52,A52,"Van Siclen Av"A53,A53,286
"77 St"627,627,"86 St"626,626,1695
"77 St"627,627,"68 St - Hunter College"628,628,0
"161 St - Yankee Stadium"414,414,"167 St"D10,D10,1546
"161 St - Yankee Stadium"414,414,"167 St"413,413,508
"161 St - Yankee Stadium"414,414,"149 St - Grand Concourse"222,222,0
"161 St - Yankee Stadium"414,414,"155 St"D12,D12,0
"Northern Blvd"G16,G16,"46 St"G18,G18,0
"Northern Blvd"G16,G16,"65 St"G15,G15,0
"74 St - Broadway"710,710,"69 St"711,711,0
"74 St - Broadway"710,710,"82 St - Jackson Hts"709,709,527
"225 St"206,206,"233 St"205,205,317
"225 St"206,206,"219 St"207,207,0
"Avenue U"N09,N09,"86 St"N10,N10,0
"Avenue U"N09,N09,"Kings Hwy"N08,N08,0
"Mets - Willets Point"702,702,"111 St"705,705,0
"Mets - Willets Point"702,702,"Flushing - Main St"701,701,1857
"Mets - Willets Point"702,702,"Junction Blvd"707,707,0
"72 St"A22,A22,"59 St - Columbus Circle"125,125,0
"72 St"A22,A22,"81 St - Museum of Natural History"A21,A21,0
"Clinton - Washington Avs"G35,G35,"Fulton St"G36,G36,0
"Clinton - Washington Avs"G35,G35,"Classon Av"G34,G34,637
"Longwood Av"614,614,"E 149 St"615,615,0
"Longwood Av"614,614,"Hunts Point Av"613,613,0
"30 Av"R04,R04,"Broadway"R05,R05,0
"30 Av"R04,R04,"Astoria Blvd"R03,R03,1549
"33 St"716,716,"Queensboro Plaza"718,718,0
"33 St"716,716,"40 St"715,715,1460
"28 St"129,129,"23 St"130,130,0
"28 St"129,129,"34 St - Penn Station"128,128,1004
"Nereid Av"204,204,"233 St"205,205,0
"Nereid Av"204,204,"Wakefield - 241 St"201,201,303
"135 St"224,224,"125 St"225,225,0
"135 St"224,224,"145 St"302,302,108
"135 St"224,224,"149 St - Grand Concourse"222,222,794
"Pennsylvania Av"255,255,"Van Siclen Av"256,256,132
"Pennsylvania Av"255,255,"Junius St"254,254,0
"Franklin Av"239,239,"Eastern Pkwy - Brooklyn Museum"238,238,0
"Franklin Av"239,239,"Nostrand Av"248,248,407
"Franklin Av"239,239,"Crown Hts - Utica Av"250,250,1442
"Franklin Av"239,239,"President St"241,241,945
"Franklin Av"239,239,"Atlantic Av - Barclays Ctr"235,235,0
"Bedford Park Blvd"D03,D03,"Kingsbridge Rd"D04,D04,0
"Bedford Park Blvd"D03,D03,"Norwood - 205 St"D01,D01,431
"7 Av"D14,D14,"50 St"A25,A25,0
"7 Av"D14,D14,"59 St - Columbus Circle"125,125,0
"7 Av"D14,D14,"47-50 Sts - Rockefeller Ctr"D15,D15,0
"7 Av"D14,D14,"5 Av/53 St"F12,F12,1084
"21 St - Queensbridge"B04,B04,"Jackson Hts - Roosevelt Av"G14,G14,5164
"21 St - Queensbridge"B04,B04,"Roosevelt Island"B06,B06,0
"Avenue H"D32,D32,"Newkirk Plaza"D31,D31,0
"Avenue H"D32,D32,"Avenue J"D33,D33,43
"E 180 St"213,213,"West Farms Sq - E Tremont Av"214,214,0
"E 180 St"213,213,"Morris Park"505,505,757
"E 180 St"213,213,"Bronx Park East"212,212,715
"Rockaway Park - Beach 116 St"H15,H15,"Beach 105 St"H14,H14,0
"85 St - Forest Pkwy"J16,J16,"Woodhaven Blvd"J15,J15,0
"85 St - Forest Pkwy"J16,J16,"75 St"J17,J17,0
"231 St"104,104,"238 St"103,103,0
"231 St"104,104,"Marble Hill - 225 St"106,106,154
"Kingston Av"249,249,"Nostrand Av"248,248,0
"Kingston Av"249,249,"Crown Hts - Utica Av"250,250,0
"191 St"110,110,"Dyckman St"109,109,0
"191 St"110,110,"181 St"111,111,0
"3 Av - 149 St"221,221,"Jackson Av"220,220,1977
"3 Av - 149 St"221,221,"149 St - Grand Concourse"222,222,0
"Grand Av - Newtown"G12,G12,"Elmhurst Av"G13,G13,0
"Grand Av - Newtown"G12,G12,"Woodhaven Blvd"G11,G11,545
"Bergen St"236,236,"Grand Army Plaza"237,237,343
"Bergen St"236,236,"Atlantic Av - Barclays Ctr"235,235,0
"Eastern Pkwy - Brooklyn Museum"238,238,"Franklin Av"239,239,0
"Eastern Pkwy - Brooklyn Museum"238,238,"Grand Army Plaza"237,237,0
"Bowling Green"420,420,"Wall St"419,419,0
"Bowling Green"420,420,"Borough Hall"232,232,4396
"Hoyt - Schermerhorn Sts"A42,A42,"Jay St - MetroTech"A41,A41,0
"Hoyt - Schermerhorn Sts"A42,A42,"Fulton St"G36,G36,403
"Hoyt - Schermerhorn Sts"A42,A42,"Nostrand Av"A46,A46,5983
"Hoyt - Schermerhorn Sts"A42,A42,"Bergen St"F20,F20,0
"Hoyt - Schermerhorn Sts"A42,A42,"Lafayette Av"A43,A43,632
"Bergen St"F20,F20,"Jay St - MetroTech"A41,A41,0
"Bergen St"F20,F20,"Carroll St"F21,F21,1637
"Bergen St"F20,F20,"Hoyt - Schermerhorn Sts"A42,A42,0
"Wakefield - 241 St"201,201,"Nereid Av"204,204,0
"Hewes St"M14,M14,"Lorimer St"M13,M13,9
"Hewes St"M14,M14,"Marcy Av"M16,M16,0
"Middletown Rd"603,603,"Pelham Bay Park"601,601,79
"Middletown Rd"603,603,"Westchester Sq - E Tremont Av"604,604,0
"Forest Hills - 71 Av"G08,G08,"Jackson Hts - Roosevelt Av"G14,G14,0
"Forest Hills - 71 Av"G08,G08,"Kew Gardens - Union Tpke"F06,F06,4497
"Forest Hills - 71 Av"G08,G08,"75 Av"F07,F07,0
"Forest Hills - 71 Av"G08,G08,"67 Av"G09,G09,0
"Clark St"231,231,"Borough Hall"232,232,428
"Clark St"231,231,"Wall St"230,230,0
"Lafayette Av"A43,A43,"Hoyt - Schermerhorn Sts"A42,A42,0
"Lafayette Av"A43,A43,"Clinton - Washington Avs"A44,A44,724
"23 St"D18,D18,"14 St"132,132,686
"23 St"D18,D18,"34 St - Herald Sq"D17,D17,122
"62 St"B16,B16,"71 St"B17,B17,927
"62 St"B16,B16,"55 St"B15,B15,0
"47-50 Sts - Rockefeller Ctr"D15,D15,"7 Av"D14,D14,0
"47-50 Sts - Rockefeller Ctr"D15,D15,"57 St"B10,B10,4058
"47-50 Sts - Rockefeller Ctr"D15,D15,"42 St - Bryant Pk"D16,D16,0
"47-50 Sts - Rockefeller Ctr"D15,D15,"5 Av/53 St"F12,F12,0
"71 St"B17,B17,"62 St"B16,B16,0
"71 St"B17,B17,"79 St"B18,B18,823
"Fresh Pond Rd"M04,M04,"Forest Av"M05,M05,0
